10,25,30,40,45,55,60,70,75,85,90,100,105
6000,37488,53963,95900,121359,180958,215338,292865,335976,430678,481449,588774,646986
6000,37496,53981,95920,121341,181086,215532,292961,336314,430785,481303,593706,646671
6000,37492,53972,95822,121310,181149,215447,292882,336130,431216,482582,595601,646322
6000,37476,53959,95918,121287,181096,215378,292922,336212,431449,482303,593186,651304
6000,37489,53963,95934,121284,180974,215247,292828,336395,430319,480662,589050,647281
6000,37489,53960,95880,121319,181069,215444,293044,336146,431327,482588,589434,649087
6000,37490,53960,95836,121319,181040,215406,292952,336284,429939,481300,594937,652399
6000,37483,53950,95858,121321,181081,215482,292719,336144,431520,481284,589080,651673
6000,37497,53973,95921,121320,181056,215187,292851,336180,431713,481979,595255,646662
6000,37488,53949,95902,121309,181108,215428,292960,336279,430945,482100,587739,651438
6000,37487,53963,95882,121349,181089,215179,292955,336415,430634,480128,591785,647742
6000,37494,53971,95871,121293,181161,215421,292803,336219,430585,482727,593749,649319
6000,37480,53970,95893,121290,181144,215319,292852,336162,431050,483060,591940,654338
6000,37489,53963,95898,121281,181016,215333,293043,335840,431175,481747,592342,645778
6000,37476,53982,95888,121320,180914,215197,292994,336234,430630,482399,592342,649030
6000,37487,53939,95861,121260,181076,215500,293043,336397,430156,482383,594448,639280
6000,37491,53958,95826,121334,181107,215488,292697,336431,431183,482295,593485,648160
6000,37483,53947,95844,121364,181027,215465,292749,335995,430260,483250,590957,645310
6000,37488,53966,95909,121331,181088,215368,293062,336503,430667,481580,591927,647871
6000,37469,53965,95883,121336,181196,215469,292635,335652,431910,480931,592065,648515
6000,37490,53959,95868,121331,181032,215435,293077,336475,429251,482470,592065,648435
6000,37491,53941,95919,121330,181060,215250,293120,335977,431667,481684,591140,649013
6000,37492,53967,95916,121302,181870,215396,292922,336275,429722,481682,589529,646827
6000,37495,53973,95887,121355,181115,215302,292678,336342,430859,481034,596346,649719
6000,37495,53974,95881,121373,181120,215507,293167,336441,431551,482226,593597,647270
6000,37497,53942,95889,121310,180977,215337,292989,336382,429603,482596,588611,646436
6000,37492,53982,95844,121378,181048,215390,293126,336512,429836,481019,597223,643930
6000,37486,53970,95910,121384,181094,215243,292766,336269,430427,483425,589672,645201
6000,37485,53963,95855,121371,181120,215425,292742,336355,430117,482682,589074,645225
6000,37494,53970,95869,121330,180899,215300,292929,335965,430921,482088,590323,649377
6000,37486,53978,95839,121270,181046,215485,293120,336412,429631,481085,589471,647741
